model,degradation,severity,imageCount,inferenceSeconds,map,ap50,ap75,ar100,smallAP,mediumAP,largeAP,smallAR,mediumAR,largeAR,missed,falsePositive,classification,localisation,cleanMap,absoluteDrop,retention
cnn,blur,5,500,882.3874574999791,0.14433831875479602,0.24632344895501437,0.14913983878952966,0.2442185053203314,0.009614505516190858,0.08676000878243369,0.21403514910600388,0.010839570646072194,0.1245014975736184,0.3550862335559607,802,8699,307,133,0.4311706053432537,0.28683228658845766,0.3347591810900205
cnn,lowlight,0,500,826.7245458341204,0.4311706053432537,0.6210984596947929,0.4900516540198979,0.5624303965295089,0.21033052924772694,0.3876895641092176,0.5144436402856152,0.3203562183573793,0.5079866746675936,0.6355162682722765,152,9851,89,155,0.4311706053432537,0.0,1.0
cnn,lowlight,1,500,819.9452297920361,0.4210068966081224,0.6126048258669422,0.47476021945744323,0.5489787273395316,0.2159676789235486,0.37944912173429957,0.5005847906376136,0.3079504974299866,0.48975999992251784,0.6139150310957102,175,9179,94,153,0.4311706053432537,0.010163708735131283,0.9764276399894191
cnn,lowlight,2,500,491.11801637499593,0.40477708207027446,0.5882236346290649,0.4522560298243348,0.5238787772918104,0.19114897546723955,0.3490303388132201,0.4809688863063122,0.2971164770758424,0.4505862805075599,0.5912890758879923,214,8409,119,144,0.4311706053432537,0.026393523272979225,0.9387863575440922
cnn,lowlight,3,500,505.6390338339843,0.3470071404309888,0.5195669659684881,0.382690651038828,0.4596422276249406,0.1517159728080724,0.29487750183161704,0.4282289016258031,0.21253759248147794,0.37697063329525504,0.5366306548653588,359,7745,132,149,0.4311706053432537,0.0841634649122649,0.804802405661994
cnn,lowlight,4,500,502.278827625094,0.21536012424809045,0.3428126021945988,0.2293298542917496,0.31710381779283,0.06813846451269198,0.18809072579738165,0.2692223359397264,0.08569967843187656,0.24466293240084186,0.39318203680385383,713,6312,187,122,0.4311706053432537,0.21581048109516324,0.4994777509859302
cnn,lowlight,5,500,556.420486834133,0.045345465446676086,0.07636879637751981,0.048348790765888265,0.08270993438155014,0.016351409650768995,0.03313896664146901,0.059255594334669044,0.018805573511455863,0.038914727195711915,0.10685855297236875,1362,3773,282,62,0.4311706053432537,0.38582513989657763,0.1051682672351393
cnn,jpeg,0,500,826.7245458341204,0.4311706053432537,0.6210984596947929,0.4900516540198979,0.5624303965295089,0.21033052924772694,0.3876895641092176,0.5144436402856152,0.3203562183573793,0.5079866746675936,0.6355162682722765,152,9851,89,155,0.4311706053432537,0.0,1.0
cnn,jpeg,1,500,494.5863466670271,0.4215887642363636,0.6163879319253887,0.4719439137968787,0.5533148394644702,0.20601504550305783,0.3784943067403917,0.5011930699940024,0.2966970415635276,0.5026736147270182,0.6256244623965501,161,9899,93,145,0.4311706053432537,0.009581841106890088,0.9777771467067844
cnn,jpeg,2,500,484.5369217910338,0.409724598468287,0.5937615330291444,0.4636317944788679,0.5481953587553794,0.17550168134956398,0.36551282971799715,0.4958809018880396,0.27990223119673585,0.48276971637115945,0.6330949114582242,174,10180,99,138,0.4311706053432537,0.021446006874966672,0.950260971853836
cnn,jpeg,3,500,547.5190490419045,0.3919473759980169,0.5778057217277344,0.43846867097579467,0.5277035357456589,0.159654361527632,0.3474855760921776,0.47882691354959317,0.26229173052895965,0.4818275161230257,0.6051880293980042,198,10449,122,144,0.4311706053432537,0.03922322934523681,0.9090308363808537
cnn,jpeg,4,500,546.5107186671812,0.3503491755462416,0.5360512656447558,0.3885436040102622,0.482252482199737,0.1345693253801135,0.3080103103570013,0.4299228189380706,0.20508587409322704,0.4326049758631048,0.5614153578426218,235,11409,149,148,0.4311706053432537,0.08082142979701207,0.8125534793062473
cnn,jpeg,5,500,519.7174335420132,0.22377409400600687,0.35751149322997,0.24455516195624022,0.36626535925182646,0.08776028660038562,0.21040731587788783,0.27910743180914754,0.15153806483334348,0.3531196893675776,0.4178802441989555,407,13059,282,147,0.4311706053432537,0.20739651133724682,0.5189919981392538
